name,apparent magnitude,latitude,longitude,x,y,z,r,g,b
,5.55,0.2338089491729707,-3.1167245915421398,111.141705,2.764456,26.478222,1.0,0.9132,0.8066802479338843
,5.98,1.0199133949588235,-3.114272316676625,11.23803,0.307211,18.300258,1.0,0.9417333333333333,0.8841800826446281
,5.7,-0.8565236639950885,-3.1140311994404626,16.837769,0.46441,-19.42844,1.0,0.9641333333333333,0.9503248760330578
,5.57,1.1204344987634232,-3.1134832533217986,115.723206,3.253833,239.438695,0.802505625,0.854805625,0.0
,6.07,0.5065207637741194,-3.112740004859837,11.948982,0.344882,6.632053,1.0,0.9330666666666667,0.85984
,6.19,-0.4033026550362905,-3.1117708235262045,36.209605,1.080174,-15.457211,0.99405,0.97615,0.0
,6.2,-0.30346022251132887,-3.109720934319737,167.926569,5.35391,-52.609842,0.886525,0.906575,0.0
,6.43,-0.04448284012643656,-3.107841476514727,183.200416,6.185593,-8.159303,0.7201725,0.7847725,0.0
,5.93,-0.39284848188269483,-3.107639105587958,72.358029,2.457783,-30.001634,0.889925,0.908775,0.0
,5.67,-0.5851971346745403,-3.1064322104102042,79.115753,2.782872,-52.45625,1.0,0.8841333333333333,0.735514958677686
,6.18,-0.04272061608728292,-3.105806509873364,278.896072,9.984904,-11.929502,1.0,0.8512,0.6643748760330579
,5.99,-0.15400980796474187,-3.1054109309983997,97.196752,3.518268,-15.098621,1.0,0.8954666666666666,0.7623285950413223
Alpheratz,2.07,0.5077238192275191,-3.1049954553699624,25.974572,0.951042,14.461264,0.7914525,0.8452525,0.0
,6.41,1.1031185985621967,-3.104296189205151,166.236542,6.202821,329.379145,1.0,0.9002666666666667,0.774044958677686
,6.11,-0.3067966811759038,-3.104250112512898,550.659574,20.572593,-174.570161,1.0,0.8072,0.5466446280991736
,6.21,0.639263926789528,-3.1037076641813783,26.020663,0.986231,19.357659,1.0,0.9661333333333333,0.9564575206611571
,6.24,0.4444129256359283,-3.1028950388816496,124.956847,4.838002,59.546878,1.0,0.9032,0.7813104132231405
,6.47,0.4930126309486766,-3.10231096444747,97.586654,3.835335,52.470284,0.93285,0.93655,0.0
,5.57,0.31785871760138407,-3.10214681623132,82.969037,3.274515,27.319281,1.0,0.8942666666666667,0.7594329752066117
,6.32,-0.942511498384794,-3.1021499578239737,75.391635,2.975289,-103.855819,1.0,0.9349333333333333,0.8650234710743802
Caph,2.28,1.0323584128302916,-3.1015669305873446,8.600014,0.344589,14.409503,0.9914999999999999,0.9745,0.0
,6.01,1.3912812719791832,-3.1008763038023304,18.819015,0.767057,103.790103,0.916275,0.925825,0.0
,5.42,-0.4884814944111115,-3.1007909572019083,68.343305,2.790097,-36.350566,1.0,0.9781333333333333,0.9940343801652892
,3.88,-0.7984432080124594,-3.1005330848049257,30.82377,1.266396,-31.665333,1.0,0.8982666666666667,0.7691371074380167
,6.34,-1.0872841687366483,-3.098533461080916,61.43658,2.647095,-117.11209,0.8996999999999999,0.9151,0.0
,5.54,0.19453113466158675,-3.097799375597527,91.778975,4.021883,18.099895,0.77296,0.8293599999999999,0.0
,5.29,-1.435080344464566,-3.09779544860671,10.551931,0.46238,-77.346312,1.0,0.8934666666666666,0.7575100000000001
,5.84,-0.09160514168066414,-3.096587244432017,58.00594,2.612349,-5.333956,1.0,0.9036,0.7823073553719009
,5.01,0.8041128402743929,-3.0965600172956855,261.527194,11.785276,271.779391,1.0,0.9793333333333333,0.9978657024793389
,5.84,-0.21956062221175712,-3.0948444459074382,73.137904,3.421562,-16.339167,1.0,0.9,0.7733884297520661
,4.89,-0.2699671272727549,-3.0924426983237687,18.046958,0.887717,-5.000042,1.0,0.9684,0.9634528099173554
,5.41,-0.4851969418384909,-3.091093122479664,214.952607,10.864269,-113.475053,1.0,0.8538666666666667,0.6697600000000001
,5.24,-0.6131886030449777,-3.090397259706894,17.377471,0.890451,-12.244148,1.0,0.9721333333333333,0.9750785950413222
,6.18,0.8404178529241475,-3.0893005820714032,134.593958,7.044791,150.48939,1.0,0.8377333333333333,0.63819
